Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-1.6234e-002
6	-7.0419e-002
7	-0.15522
8	-0.26477
9	-0.39395
10	-0.53833
11	-0.69399
12	-0.85746
13	-1.0256
14	-1.1955
15	-1.3646
16	-1.5305
17	-1.691
18	-1.8443
19	-1.9885
20	-2.1221
21	-2.2437
22	-2.3522
23	-2.4467
24	-2.5264
25	-2.5908
26	-2.6395
27	-2.6725
28	-2.6897
29	-2.6915
30	-2.6782
31	-2.6505
32	-2.6091
33	-2.5549
34	-2.4891
35	-2.4127
36	-2.3271
37	-2.2335
38	-2.1333
39	-2.0281
40	-1.9193
41	-1.8084
42	-1.6968
43	-1.5859
44	-1.4771
45	-1.3717
46	-1.271
47	-1.1759
48	-1.0875
49	-1.0066
50	-0.93392
51	-0.86999
52	-0.81521
53	-0.7698
54	-0.73384
55	-0.70721
56	-0.68967
57	-0.68081
58	-0.68005
59	-0.6867
60	-0.69993
61	-0.7188
62	-0.74226
63	-0.76918
64	-0.79837
65	-0.82858
66	-0.85854
67	-0.88695
68	-0.91254
69	-0.93405
70	-0.95029
71	-0.96012
72	-0.96248
73	-0.95644
74	-0.94114
75	-0.91591
76	-0.88016
77	-0.83352
78	-0.77572
79	-0.7067
80	-0.62656
81	-0.53556
82	-0.43413
83	-0.32286
84	-0.20249
85	-7.3829e-002
86	6.2113e-002
87	0.20502
88	0.35284
89	0.
90	0.51717
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-1.6246e-002
99	-7.0445e-002
100	-0.15525
101	-0.2648
102	-0.39398
103	-0.53836
104	-0.69402
105	-0.85749
106	-1.0256
107	-1.1955
108	-1.3646
109	-1.5305
110	-1.6911
111	-1.8443
112	-1.9885
113	-2.1221
114	-2.2437
115	-2.3522
116	-2.4467
117	-2.5264
118	-2.5908
119	-2.6395
120	-2.6725
121	-2.6897
122	-2.6915
123	-2.6782
124	-2.6505
125	-2.6091
126	-2.555
127	-2.4891
128	-2.4128
129	-2.3271
130	-2.2335
131	-2.1334
132	-2.0282
133	-1.9193
134	-1.8084
135	-1.6968
136	-1.5859
137	-1.4771
138	-1.3718
139	-1.271
140	-1.1759
141	-1.0875
142	-1.0066
