Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-1.2719e-003
6	-8.3918e-003
7	-2.1709e-002
8	-4.1118e-002
9	-6.6324e-002
10	-9.6966e-002
11	-0.13265
12	-0.17296
13	-0.21749
14	-0.26581
15	-0.31752
16	-0.3722
17	-0.42945
18	-0.48886
19	-0.55005
20	-0.61261
21	-0.67618
22	-0.74038
23	-0.80483
24	-0.86919
25	-0.9331
26	-0.99622
27	-1.0582
28	-1.1188
29	-1.1776
30	-1.2344
31	-1.2888
32	-1.3406
33	-1.3895
34	-1.4353
35	-1.4778
36	-1.5166
37	-1.5516
38	-1.5827
39	-1.6096
40	-1.6321
41	-1.6501
42	-1.6635
43	-1.6722
44	-1.676
45	-1.6749
46	-1.6688
47	-1.6576
48	-1.6413
49	-1.6198
50	-1.5933
51	-1.5615
52	-1.5247
53	-1.4828
54	-1.4359
55	-1.384
56	-1.3272
57	-1.2657
58	-1.1994
59	-1.1286
60	-1.0533
61	-0.9737
62	-0.88994
63	-0.80217
64	-0.71055
65	-0.61525
66	-0.51647
67	-0.41437
68	-0.30915
69	-0.201
70	-9.0115e-002
71	2.3302e-002
72	0.13906
73	0.25695
74	0.37679
75	0.49837
76	0.62151
77	0.74603
78	0.87173
79	0.99846
80	1.126
81	1.2543
82	1.3832
83	1.5124
84	1.642
85	1.7718
86	1.9017
87	2.0317
88	2.1617
89	0.
90	2.2916
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-1.2719e-003
99	-8.3918e-003
100	-2.1709e-002
101	-4.1118e-002
102	-6.6324e-002
103	-9.6966e-002
104	-0.13265
105	-0.17296
106	-0.21749
107	-0.26581
108	-0.31752
109	-0.3722
110	-0.42945
111	-0.48886
112	-0.55005
113	-0.61261
114	-0.67618
115	-0.74038
116	-0.80483
117	-0.86919
118	-0.9331
119	-0.99622
120	-1.0582
121	-1.1188
122	-1.1776
123	-1.2344
124	-1.2888
125	-1.3406
126	-1.3895
127	-1.4353
128	-1.4778
129	-1.5166
130	-1.5516
131	-1.5827
132	-1.6096
133	-1.6321
134	-1.6501
135	-1.6635
136	-1.6722
137	-1.676
138	-1.6749
139	-1.6688
140	-1.6576
141	-1.6413
