Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	1.0454e-002
6	4.984e-002
7	0.11475
8	0.20178
9	0.30757
10	0.429
11	0.56314
12	0.70726
13	0.85877
14	1.0152
15	1.1743
16	1.3339
17	1.4919
18	1.6464
19	1.7957
20	1.938
21	2.072
22	2.1961
23	2.3092
24	2.4102
25	2.4982
26	2.5725
27	2.6325
28	2.6776
29	2.7078
30	2.7228
31	2.7228
32	2.7079
33	2.6784
34	2.6348
35	2.5778
36	2.508
37	2.4262
38	2.3332
39	2.2301
40	2.1178
41	1.9974
42	1.8697
43	1.7361
44	1.5973
45	1.4546
46	1.3089
47	1.1613
48	1.0126
49	0.86393
50	0.71615
51	0.57015
52	0.4268
53	0.2869
54	0.15123
55	2.0511e-002
56	-0.10459
57	-0.22347
58	-0.33557
59	-0.44042
60	-0.53759
61	-0.62675
62	-0.70764
63	-0.78006
64	-0.84389
65	-0.89912
66	-0.94576
67	-0.98394
68	-1.0138
69	-1.0357
70	-1.0498
71	-1.0565
72	-1.0563
73	-1.0494
74	-1.0365
75	-1.018
76	-0.99422
77	-0.96578
78	-0.93311
79	-0.89665
80	-0.85681
81	-0.814
82	-0.7686
83	-0.72095
84	-0.67139
85	-0.62023
86	-0.56776
87	-0.51429
88	-0.46011
89	0.
90	-0.40552
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	1.046e-002
99	4.9854e-002
100	0.11477
101	0.20179
102	0.30758
103	0.42901
104	0.56316
105	0.70727
106	0.85878
107	1.0152
108	1.1743
109	1.3339
110	1.4919
111	1.6465
112	1.7957
113	1.9381
114	2.072
115	2.1961
116	2.3092
117	2.4102
118	2.4982
119	2.5725
120	2.6325
121	2.6776
122	2.7078
123	2.7228
124	2.7228
125	2.7079
126	2.6784
127	2.6348
128	2.5778
129	2.508
130	2.4261
131	2.3332
132	2.2301
133	2.1178
134	1.9973
135	1.8697
136	1.7361
137	1.5973
138	1.4546
139	1.3089
140	1.1612
141	1.0126
142	0.86392
143	0.71614
144	0.57015
145	0.42679
146	0.2869
147	0.15123
148	2.0508e-002
149	-0.1046
150	-0.22347
151	-0.33558
152	-0.44042
153	-0.53759
154	-0.62676
155	-0.70764
