Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-2.2279e-003
6	-7.854e-003
7	-1.5455e-002
8	-2.4219e-002
9	-3.3648e-002
10	-4.3447e-002
11	-5.3465e-002
12	-6.3648e-002
13	-7.4016e-002
14	-8.4645e-002
15	-9.5648e-002
16	-0.10716
17	-0.11936
18	-0.1324
19	-0.14646
20	-0.16174
21	-0.17842
22	-0.19667
23	-0.21666
24	-0.23857
25	-0.26254
26	-0.28872
27	-0.31724
28	-0.34821
29	-0.38173
30	-0.41786
31	-0.45665
32	-0.49814
33	-0.5423
34	-0.58909
35	-0.63841
36	-0.69015
37	-0.7441
38	-0.80003
39	-0.85762
40	-0.91652
41	-0.97627
42	-1.0364
43	-1.0963
44	-1.1553
45	-1.2128
46	-1.2681
47	-1.3204
48	-1.3688
49	-1.4127
50	-1.4512
51	-1.4836
52	-1.509
53	-1.5268
54	-1.5363
55	-1.5368
56	-1.5278
57	-1.5087
58	-1.479
59	-1.4384
60	-1.3866
61	-1.3232
62	-1.2481
63	-1.1611
64	-1.0623
65	-0.95156
66	-0.8291
67	-0.69506
68	-0.54966
69	-0.3932
70	-0.22607
71	-4.8691e-002
72	0.13845
73	0.3348
74	0.53975
75	0.75265
76	0.9728
77	1.1995
78	1.4319
79	1.6692
80	1.9108
81	2.1557
82	2.4032
83	2.6527
84	2.9033
85	3.1547
86	3.4062
87	3.6575
88	3.9084
89	0.
90	4.159
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-2.2533e-003
99	-7.9095e-003
100	-1.5516e-002
101	-2.4282e-002
102	-3.3711e-002
103	-4.3509e-002
104	-5.3526e-002
105	-6.3708e-002
106	-7.4075e-002
107	-8.4703e-002
108	-9.5704e-002
109	-0.10722
110	-0.11941
111	-0.13245
112	-0.14652
113	-0.16179
114	-0.17847
115	-0.19671
116	-0.21671
117	-0.23861
118	-0.26258
119	-0.28876
120	-0.31728
121	-0.34825
122	-0.38176
123	-0.41789
124	-0.45669
125	-0.49817
126	-0.54233
127	-0.58912
128	-0.63844
129	-0.69018
130	-0.74413
131	-0.80005
132	-0.85765
133	-0.91654
134	-0.97629
135	-1.0364
136	-1.0963
137	-1.1553
