Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	2.2354e-004
6	-1.4061e-004
7	-1.4248e-003
8	-3.6713e-003
9	-6.7856e-003
10	-1.0596e-002
11	-1.4887e-002
12	-1.9412e-002
13	-2.3915e-002
14	-2.8136e-002
15	-3.1821e-002
16	-3.473e-002
17	-3.6639e-002
18	-3.7352e-002
19	-3.6698e-002
20	-3.4539e-002
21	-3.0771e-002
22	-2.5326e-002
23	-1.8173e-002
24	-9.3175e-003
25	1.1951e-003
26	1.3285e-002
27	2.6835e-002
28	4.1696e-002
29	5.7689e-002
30	7.4605e-002
31	9.2212e-002
32	0.11026
33	0.12848
34	0.14659
35	0.16431
36	0.18135
37	0.19742
38	0.21226
39	0.22558
40	0.23716
41	0.24676
42	0.25419
43	0.25927
44	0.26187
45	0.26188
46	0.25924
47	0.25391
48	0.24591
49	0.23528
50	0.22211
51	0.20652
52	0.18869
53	0.16879
54	0.14706
55	0.12374
56	9.9111e-002
57	7.3471e-002
58	4.7127e-002
59	2.0402e-002
60	-6.378e-003
61	-3.2886e-002
62	-5.8797e-002
63	-8.3797e-002
64	-0.10758
65	-0.12987
66	-0.1504
67	-0.16894
68	-0.18527
69	-0.19923
70	-0.21066
71	-0.21946
72	-0.22555
73	-0.22892
74	-0.22955
75	-0.22748
76	-0.22278
77	-0.21556
78	-0.20595
79	-0.1941
80	-0.18018
81	-0.16441
82	-0.14698
83	-0.1281
84	-0.10801
85	-8.6912e-002
86	-6.5017e-002
87	-4.2514e-002
88	-1.9562e-002
89	0.
90	3.8556e-003
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	2.2494e-004
99	-1.3758e-004
100	-1.4216e-003
101	-3.668e-003
102	-6.7822e-003
103	-1.0593e-002
104	-1.4883e-002
105	-1.9409e-002
106	-2.3912e-002
107	-2.8133e-002
108	-3.1818e-002
109	-3.4727e-002
110	-3.6636e-002
111	-3.7349e-002
112	-3.6695e-002
113	-3.4536e-002
114	-3.0769e-002
115	-2.5324e-002
116	-1.817e-002
117	-9.3154e-003
118	1.1971e-003
119	1.3286e-002
120	2.6836e-002
121	4.1698e-002
122	5.769e-002
123	7.4606e-002
124	9.2214e-002
