Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	4.4336e-003
6	2.4904e-002
7	6.0984e-002
8	0.11141
9	0.17459
10	0.2488
11	0.3323
12	0.42335
13	0.5202
14	0.62117
15	0.72459
16	0.82887
17	0.93246
18	1.0339
19	1.1317
20	1.2247
21	1.3115
22	1.391
23	1.4622
24	1.5242
25	1.5761
26	1.6173
27	1.647
28	1.6649
29	1.6706
30	1.6639
31	1.6447
32	1.6129
33	1.5688
34	1.5126
35	1.4447
36	1.3656
37	1.2758
38	1.176
39	1.0671
40	0.94999
41	0.82552
42	0.69475
43	0.55879
44	0.41876
45	0.27584
46	0.13125
47	-1.3784e-002
48	-0.15802
49	-0.30023
50	-0.43917
51	-0.57365
52	-0.70247
53	-0.82453
54	-0.93872
55	-1.044
56	-1.1395
57	-1.2243
58	-1.2976
59	-1.3587
60	-1.4069
61	-1.4419
62	-1.4631
63	-1.4703
64	-1.4633
65	-1.442
66	-1.4064
67	-1.3567
68	-1.293
69	-1.2158
70	-1.1254
71	-1.0223
72	-0.90714
73	-0.7806
74	-0.64338
75	-0.49629
76	-0.34014
77	-0.17582
78	-4.2151e-003
79	0.17378
80	0.35726
81	0.54534
82	0.73717
83	0.93194
84	1.1289
85	1.3274
86	1.5268
87	1.7267
88	1.9267
89	0.
90	2.1266
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	4.4336e-003
99	2.4904e-002
100	6.0984e-002
101	0.11141
102	0.17459
103	0.2488
104	0.3323
105	0.42335
106	0.5202
107	0.62117
108	0.72459
109	0.82887
110	0.93246
111	1.0339
112	1.1317
113	1.2247
114	1.3115
115	1.391
116	1.4622
117	1.5242
118	1.5761
119	1.6173
120	1.647
121	1.6649
122	1.6706
123	1.6639
124	1.6447
125	1.6129
126	1.5688
127	1.5126
128	1.4447
129	1.3656
130	1.2758
131	1.176
132	1.0671
133	0.94999
134	0.82552
135	0.69475
136	0.55879
137	0.41876
138	0.27584
139	0.13125
140	-1.3784e-002
141	-0.15802
142	-0.30023
143	-0.43917
144	-0.57365
145	-0.70247
146	-0.82453
147	-0.93872
148	-1.044
149	-1.1395
150	-1.2243
151	-1.2976
152	-1.3587
153	-1.4069
