Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	4.2358e-002
6	0.17731
7	0.38102
8	0.63405
9	0.91894
10	1.2202
11	1.5239
12	1.8179
13	2.0912
14	2.3346
15	2.5401
16	2.7015
17	2.8142
18	2.8751
19	2.8828
20	2.8376
21	2.7411
22	2.5962
23	2.4074
24	2.18
25	1.9204
26	1.6357
27	1.3336
28	1.0221
29	0.70896
30	0.40204
31	0.10872
32	-0.1642
33	-0.41065
34	-0.62545
35	-0.80442
36	-0.94448
37	-1.0436
38	-1.1005
39	-1.1153
40	-1.0889
41	-1.023
42	-0.92022
43	-0.78391
44	-0.61791
45	-0.42657
46	-0.21451
47	1.322e-002
48	0.25134
49	0.49458
50	0.73766
51	0.97535
52	1.2026
53	1.4147
54	1.6072
55	1.7765
56	1.9189
57	2.0319
58	2.1134
59	2.1618
60	2.1766
61	2.1578
62	2.1059
63	2.0223
64	1.9087
65	1.7678
66	1.6025
67	1.4162
68	1.2126
69	0.99586
70	0.76994
71	0.539
72	0.30712
73	7.8296e-002
74	-0.1438
75	-0.35577
76	-0.55464
77	-0.73775
78	-0.90303
79	-1.049
80	-1.1745
81	-1.2791
82	-1.3629
83	-1.4263
84	-1.4704
85	-1.4968
86	-1.5076
87	-1.5054
88	-1.4933
89	0.
90	-1.4754
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	4.2218e-002
99	0.17695
100	0.38066
101	0.63371
102	0.91862
103	1.2199
104	1.5237
105	1.8176
106	2.091
107	2.3344
108	2.5399
109	2.7014
110	2.8141
111	2.875
112	2.8828
113	2.8376
114	2.7411
115	2.5963
116	2.4075
117	2.1801
118	1.9205
119	1.6359
120	1.3339
121	1.0224
122	0.70927
123	0.40237
124	0.10908
125	-0.1638
126	-0.41021
127	-0.62499
128	-0.80393
129	-0.94397
130	-1.043
131	-1.1
132	-1.1148
133	-1.0883
134	-1.0224
135	-0.91965
136	-0.78334
137	-0.61736
138	-0.42602
139	-0.21397
140	1.3734e-002
141	0.25184
142	0.49505
143	0.73811
144	0.97578
145	1.203
146	1.4151
147	1.6076
148	1.7768
149	1.9193
150	2.0323
151	2.1137
152	2.1621
153	2.1769
154	2.1581
