Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-2.0212e-002
6	-8.9845e-002
7	-0.19991
8	-0.3426
9	-0.51072
10	-0.69779
11	-0.89786
12	-1.1055
13	-1.3157
14	-1.5238
15	-1.7256
16	-1.9174
17	-2.0955
18	-2.2571
19	-2.3995
20	-2.5205
21	-2.6184
22	-2.6918
23	-2.7398
24	-2.762
25	-2.7584
26	-2.7295
27	-2.6759
28	-2.5989
29	-2.5
30	-2.3812
31	-2.2445
32	-2.0924
33	-1.9274
34	-1.7523
35	-1.57
36	-1.3834
37	-1.1954
38	-1.0088
39	-0.82662
40	-0.65134
41	-0.48549
42	-0.33132
43	-0.19082
44	-6.5723e-002
45	4.2595e-002
46	0.13307
47	0.20501
48	0.25807
49	0.29227
50	0.30801
51	0.30602
52	0.2874
53	0.25354
54	0.20613
55	0.14713
56	7.8704e-002
57	3.2251e-003
58	-7.6804e-002
59	-0.15878
60	-0.24004
61	-0.31794
62	-0.38984
63	-0.45322
64	-0.50567
65	-0.54497
66	-0.56912
67	-0.57634
68	-0.56514
69	-0.53435
70	-0.4831
71	-0.41087
72	-0.31747
73	-0.20306
74	-6.8142e-002
75	8.647e-002
76	0.25966
77	0.45003
78	0.65596
79	0.87562
80	1.107
81	1.3481
82	1.5968
83	1.851
84	2.1088
85	2.3683
86	2.6282
87	2.8873
88	3.1449
89	0.
90	3.4014
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-2.0228e-002
99	-8.988e-002
100	-0.19995
101	-0.34264
102	-0.51076
103	-0.69783
104	-0.8979
105	-1.1055
106	-1.3157
107	-1.5238
108	-1.7257
109	-1.9174
110	-2.0956
111	-2.2572
112	-2.3996
113	-2.5206
114	-2.6184
115	-2.6918
116	-2.7398
117	-2.7621
118	-2.7585
119	-2.7295
120	-2.6759
121	-2.5989
122	-2.5
123	-2.3812
124	-2.2445
125	-2.0924
126	-1.9274
127	-1.7523
128	-1.57
129	-1.3834
130	-1.1954
131	-1.0089
132	-0.82663
133	-0.65135
134	-0.4855
135	-0.33133
136	-0.19083
137	-6.5732e-002
138	4.2586e-002
139	0.13307
140	0.205
141	0.25806
142	0.29226
143	0.308
144	0.30602
