Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	7.8013e-002
6	0.31006
7	0.64537
8	1.0429
9	1.4703
10	1.8966
11	2.296
12	2.6447
13	2.9269
14	3.1274
15	3.2373
16	3.2543
17	3.1784
18	3.0157
19	2.7739
20	2.4581
21	2.0817
22	1.6572
23	1.2008
24	0.72799
25	0.25398
26	-0.20723
27	-0.64377
28	-1.0427
29	-1.3943
30	-1.6924
31	-1.9346
32	-2.1171
33	-2.2366
34	-2.2949
35	-2.2957
36	-2.2425
37	-2.1379
38	-1.9886
39	-1.8005
40	-1.5785
41	-1.3328
42	-1.0706
43	-0.79929
44	-0.52693
45	-0.26045
46	-5.6796e-003
47	0.23523
48	0.45848
49	0.65853
50	0.83709
51	0.99191
52	1.1249
53	1.2386
54	1.3331
55	1.4086
56	1.4681
57	1.5118
58	1.5397
59	1.5515
60	1.5477
61	1.5239
62	1.4801
63	1.4143
64	1.3226
65	1.2045
66	1.0593
67	0.88573
68	0.68184
69	0.45001
70	0.19448
71	-8.2089e-002
72	-0.37177
73	-0.67056
74	-0.96645
75	-1.2472
76	-1.5041
77	-1.7277
78	-1.9097
79	-2.0416
80	-2.1157
81	-2.1262
82	-2.0709
83	-1.9477
84	-1.7536
85	-1.492
86	-1.1691
87	-0.78219
88	-0.35358
89	0.
90	0.21661
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	7.7677e-002
99	0.30976
100	0.64405
101	1.0421
102	1.4695
103	1.8962
104	2.2956
105	2.644
106	2.9264
107	3.1266
108	3.2373
109	3.254
110	3.178
111	3.0155
112	2.7736
113	2.4581
114	2.0814
115	1.6569
116	1.2007
117	0.72787
118	0.25394
119	-0.20747
120	-0.64405
121	-1.0425
122	-1.3941
123	-1.6924
124	-1.9344
125	-2.1169
126	-2.2367
127	-2.295
128	-2.2956
129	-2.242
130	-2.1378
131	-1.9884
132	-1.8002
133	-1.5782
134	-1.3324
135	-1.0703
136	-0.79918
137	-0.5264
138	-0.26001
139	-4.7632e-003
140	0.2358
141	0.45878
142	0.65908
143	0.83743
144	0.99251
145	1.1253
146	1.2394
147	1.3336
148	1.409
149	1.4685
150	1.5124
151	1.54
152	1.5517
