Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-5.2945e-003
6	-1.4681e-002
7	-2.4285e-002
8	-3.2822e-002
9	-4.0223e-002
10	-4.7135e-002
11	-5.4636e-002
12	-6.4028e-002
13	-7.6703e-002
14	-9.4006e-002
15	-0.11715
16	-0.14716
17	-0.18481
18	-0.23055
19	-0.28454
20	-0.34658
21	-0.41609
22	-0.49218
23	-0.57361
24	-0.65887
25	-0.74618
26	-0.83356
27	-0.91886
28	-0.99984
29	-1.0742
30	-1.1397
31	-1.1943
32	-1.2358
33	-1.2627
34	-1.2734
35	-1.2669
36	-1.2424
37	-1.1999
38	-1.1394
39	-1.0618
40	-0.96831
41	-0.8607
42	-0.74114
43	-0.61221
44	-0.47686
45	-0.33826
46	-0.1998
47	-6.4908e-002
48	6.3029e-002
49	0.18075
50	0.28523
51	0.37379
52	0.44414
53	0.49449
54	0.52358
55	0.53074
56	0.51591
57	0.47963
58	0.42304
59	0.34785
60	0.25632
61	0.15117
62	3.5539e-002
63	-8.7108e-002
64	-0.21308
65	-0.33852
66	-0.45958
67	-0.57244
68	-0.67344
69	-0.75919
70	-0.82663
71	-0.87312
72	-0.8965
73	-0.89519
74	-0.86813
75	-0.8149
76	-0.73567
77	-0.63119
78	-0.50279
79	-0.35228
80	-0.18189
81	5.7475e-003
82	0.20779
83	0.42126
84	0.64316
85	0.87064
86	1.1012
87	1.3326
88	1.5636
89	0.
90	1.7937
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-5.2977e-003
99	-1.4684e-002
100	-2.4291e-002
101	-3.2829e-002
102	-4.023e-002
103	-4.7144e-002
104	-5.4644e-002
105	-6.4038e-002
106	-7.6713e-002
107	-9.4017e-002
108	-0.11716
109	-0.14717
110	-0.18482
111	-0.23056
112	-0.28456
113	-0.34659
114	-0.4161
115	-0.49219
116	-0.57363
117	-0.65889
118	-0.7462
119	-0.83358
120	-0.91888
121	-0.99986
122	-1.0742
123	-1.1398
124	-1.1943
125	-1.2359
126	-1.2627
127	-1.2734
128	-1.2669
129	-1.2425
130	-1.1999
131	-1.1394
132	-1.0618
133	-0.96835
134	-0.86073
135	-0.74117
136	-0.61224
137	-0.47689
