Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-3.7913e-002
6	-0.12758
7	-0.23984
8	-0.36837
9	-0.49526
10	-0.62778
11	-0.7657
12	-0.91909
13	-1.0752
14	-1.2447
15	-1.4236
16	-1.5887
17	-1.7239
18	-1.7975
19	-1.7957
20	-1.7268
21	-1.5886
22	-1.3937
23	-1.1337
24	-0.83081
25	-0.48575
26	-0.11522
27	0.26603
28	0.65495
29	1.0395
30	1.3915
31	1.679
32	1.8911
33	2.0395
34	2.1089
35	2.0894
36	1.9781
37	1.7921
38	1.5544
39	1.2848
40	1.0062
41	0.7125
42	0.41347
43	0.12474
44	-0.15106
45	-0.40331
46	-0.6147
47	-0.7782
48	-0.88757
49	-0.96355
50	-0.99469
51	-0.97829
52	-0.90978
53	-0.78238
54	-0.62157
55	-0.41505
56	-0.18663
57	6.0607e-002
58	0.30143
59	0.54489
60	0.78836
61	1.0076
62	1.1868
63	1.3195
64	1.3832
65	1.3873
66	1.3218
67	1.2074
68	1.0434
69	0.84363
70	0.62111
71	0.36298
72	9.5594e-002
73	-0.19444
74	-0.47866
75	-0.72343
76	-0.91409
77	-1.0471
78	-1.1
79	-1.0689
80	-0.93817
81	-0.7066
82	-0.38884
83	1.1526e-002
84	0.4615
85	0.95725
86	1.4851
87	2.0269
88	2.5706
89	0.
90	3.0961
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-3.6018e-002
99	-0.12535
100	-0.24295
101	-0.3689
102	-0.49547
103	-0.62502
104	-0.76489
105	-0.91909
106	-1.0755
107	-1.2449
108	-1.4216
109	-1.5868
110	-1.7229
111	-1.7984
112	-1.7947
113	-1.7266
114	-1.5896
115	-1.3948
116	-1.1341
117	-0.83082
118	-0.4868
119	-0.11496
120	0.26517
121	0.65628
122	1.0403
123	1.3915
124	1.6793
125	1.8922
126	2.0385
127	2.1072
128	2.0897
129	1.9797
130	1.7918
131	1.5548
132	1.2847
133	1.0068
134	0.71298
135	0.41318
136	0.12225
137	-0.1509
138	-0.40184
139	-0.61508
140	-0.77703
141	-0.88694
142	-0.9635
143	-0.99575
144	-0.97755
145	-0.91093
146	-0.78192
147	-0.62074
148	-0.41666
