Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-9.6241e-004
6	-4.03e-003
7	-8.7323e-003
8	-1.4904e-002
9	-2.2304e-002
10	-3.0728e-002
11	-3.9985e-002
12	-4.9905e-002
13	-6.0331e-002
14	-7.1119e-002
15	-8.2135e-002
16	-9.3257e-002
17	-0.10437
18	-0.11536
19	-0.12613
20	-0.13659
21	-0.14665
22	-0.15624
23	-0.16527
24	-0.17368
25	-0.18142
26	-0.18843
27	-0.19467
28	-0.20011
29	-0.20471
30	-0.20845
31	-0.21133
32	-0.21333
33	-0.21446
34	-0.21473
35	-0.21415
36	-0.21276
37	-0.21057
38	-0.20762
39	-0.20397
40	-0.19965
41	-0.19472
42	-0.18924
43	-0.18328
44	-0.17688
45	-0.17014
46	-0.16311
47	-0.15587
48	-0.14849
49	-0.14105
50	-0.13363
51	-0.12629
52	-0.1191
53	-0.11215
54	-0.10549
55	-9.9193e-002
56	-9.3315e-002
57	-8.7916e-002
58	-8.3046e-002
59	-7.8754e-002
60	-7.5081e-002
61	-7.2063e-002
62	-6.973e-002
63	-6.8107e-002
64	-6.7213e-002
65	-6.7058e-002
66	-6.7648e-002
67	-6.8983e-002
68	-7.1056e-002
69	-7.3855e-002
70	-7.7361e-002
71	-8.1552e-002
72	-8.6398e-002
73	-9.1868e-002
74	-9.7925e-002
75	-0.10453
76	-0.11164
77	-0.11921
78	-0.1272
79	-0.13556
80	-0.14424
81	-0.15321
82	-0.16241
83	-0.17181
84	-0.18138
85	-0.19107
86	-0.20086
87	-0.21072
88	-0.22062
89	0.
90	-0.23055
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-7.0239e-004
99	-3.4648e-003
100	-8.1091e-003
101	-1.4255e-002
102	-2.1654e-002
103	-3.0082e-002
104	-3.9346e-002
105	-4.9274e-002
106	-5.9708e-002
107	-7.0505e-002
108	-8.1531e-002
109	-9.2663e-002
110	-0.10378
111	-0.11479
112	-0.12557
113	-0.13604
114	-0.14611
115	-0.1557
116	-0.16474
117	-0.17316
118	-0.18091
119	-0.18793
120	-0.19418
121	-0.19963
122	-0.20424
123	-0.20799
124	-0.21088
125	-0.21289
126	-0.21403
127	-0.21431
