Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	5.0775e-002
6	0.21167
7	0.45415
8	0.75459
9	1.0926
10	1.4482
11	1.8045
12	2.1463
13	2.4596
14	2.7336
15	2.9593
16	3.1304
17	3.2425
18	3.293
19	3.2815
20	3.2078
21	3.0747
22	2.886
23	2.6472
24	2.3661
25	2.0504
26	1.7075
27	1.346
28	0.97646
29	0.60796
30	0.2499
31	-9.0012e-002
32	-0.40454
33	-0.68731
34	-0.93258
35	-1.1365
36	-1.2953
37	-1.4068
38	-1.4697
39	-1.4841
40	-1.4512
41	-1.3735
42	-1.254
43	-1.0965
44	-0.90467
45	-0.6833
46	-0.43818
47	-0.17446
48	0.10248
49	0.38526
50	0.66778
51	0.94386
52	1.2082
53	1.4559
54	1.681
55	1.8797
56	2.0487
57	2.1843
58	2.2842
59	2.3474
60	2.3728
61	2.3605
62	2.3115
63	2.228
64	2.1119
65	1.9665
66	1.7946
67	1.6003
68	1.387
69	1.1588
70	0.92046
71	0.67661
72	0.43176
73	0.18969
74	-4.4773e-002
75	-0.2674
76	-0.47526
77	-0.66585
78	-0.83753
79	-0.9881
80	-1.1168
81	-1.2232
82	-1.307
83	-1.3694
84	-1.4114
85	-1.435
86	-1.4415
87	-1.4329
88	-1.4135
89	0.
90	-1.3876
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	5.1111e-002
99	0.21277
100	0.45513
101	0.75569
102	1.0936
103	1.4491
104	1.8055
105	2.1471
106	2.4606
107	2.7342
108	2.96
109	3.131
110	3.243
111	3.2935
112	3.2819
113	3.2082
114	3.0749
115	2.8861
116	2.6474
117	2.3661
118	2.0503
119	1.7073
120	1.3457
121	0.97622
122	0.6077
123	0.24959
124	-9.0388e-002
125	-0.40516
126	-0.688
127	-0.93322
128	-1.1372
129	-1.2961
130	-1.4077
131	-1.4707
132	-1.4851
133	-1.4522
134	-1.3746
135	-1.255
136	-1.0976
137	-0.90559
138	-0.68452
139	-0.43926
140	-0.17553
141	0.10141
142	0.38427
143	0.66673
144	0.94294
145	1.2073
146	1.4548
147	1.6801
148	1.879
149	2.048
150	2.1835
151	2.2833
152	2.3466
153	2.3722
154	2.3596
155	2.3109
