Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	2.6159e-005
6	3.8297e-004
7	1.1505e-003
8	2.3602e-003
9	4.0234e-003
10	6.1428e-003
11	8.7159e-003
12	1.1738e-002
13	1.5202e-002
14	1.9102e-002
15	2.3428e-002
16	2.8173e-002
17	3.3329e-002
18	3.8886e-002
19	4.4837e-002
20	5.1174e-002
21	5.7887e-002
22	6.4969e-002
23	7.2411e-002
24	8.0206e-002
25	8.8345e-002
26	9.682e-002
27	0.10562
28	0.11475
29	0.12418
30	0.13392
31	0.14396
32	0.15428
33	0.16489
34	0.17577
35	0.18691
36	0.19831
37	0.20997
38	0.22186
39	0.234
40	0.24636
41	0.25894
42	0.27174
43	0.28475
44	0.29795
45	0.31135
46	0.32494
47	0.33871
48	0.35266
49	0.36677
50	0.38104
51	0.39547
52	0.41005
53	0.42478
54	0.43964
55	0.45463
56	0.46975
57	0.48499
58	0.50034
59	0.5158
60	0.53136
61	0.54702
62	0.56276
63	0.5786
64	0.59451
65	0.6105
66	0.62655
67	0.64267
68	0.65885
69	0.67508
70	0.69136
71	0.70768
72	0.72405
73	0.74044
74	0.75687
75	0.77333
76	0.78981
77	0.8063
78	0.82282
79	0.83935
80	0.85589
81	0.87244
82	0.889
83	0.90556
84	0.92213
85	0.93871
86	0.95528
87	0.97186
88	0.98844
89	0.
90	1.005
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	2.6159e-005
99	3.8297e-004
100	1.1505e-003
101	2.3602e-003
102	4.0234e-003
103	6.1428e-003
104	8.7159e-003
105	1.1738e-002
106	1.5202e-002
107	1.9102e-002
108	2.3428e-002
109	2.8173e-002
110	3.3329e-002
111	3.8886e-002
112	4.4837e-002
113	5.1174e-002
114	5.7887e-002
115	6.4969e-002
116	7.2411e-002
117	8.0206e-002
118	8.8345e-002
119	9.682e-002
120	0.10562
121	0.11475
122	0.12418
123	0.13392
124	0.14396
125	0.15428
126	0.16489
127	0.17577
128	0.18691
129	0.19831
130	0.20997
131	0.22186
132	0.234
133	0.24636
134	0.25894
135	0.27174
136	0.28475
137	0.29795
138	0.31135
139	0.32494
140	0.33871
141	0.35266
142	0.36677
143	0.38104
144	0.39547
