Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	2.8455e-005
6	3.3091e-004
7	9.6596e-004
8	1.9556e-003
9	3.3073e-003
10	5.0219e-003
11	7.097e-003
12	9.5285e-003
13	1.2311e-002
14	1.5439e-002
15	1.8907e-002
16	2.2709e-002
17	2.6838e-002
18	3.1288e-002
19	3.6054e-002
20	4.113e-002
21	4.6509e-002
22	5.2186e-002
23	5.8155e-002
24	6.441e-002
25	7.0947e-002
26	7.7758e-002
27	8.484e-002
28	9.2185e-002
29	9.9789e-002
30	0.10765
31	0.11575
32	0.1241
33	0.13268
34	0.1415
35	0.15054
36	0.15981
37	0.16929
38	0.17898
39	0.18887
40	0.19897
41	0.20926
42	0.21974
43	0.23041
44	0.24126
45	0.25228
46	0.26347
47	0.27483
48	0.28634
49	0.29801
50	0.30983
51	0.3218
52	0.3339
53	0.34615
54	0.35852
55	0.37102
56	0.38364
57	0.39638
58	0.40923
59	0.42218
60	0.43525
61	0.44841
62	0.46166
63	0.47501
64	0.48844
65	0.50195
66	0.51554
67	0.52921
68	0.54294
69	0.55674
70	0.5706
71	0.58452
72	0.5985
73	0.61252
74	0.62659
75	0.64071
76	0.65486
77	0.66905
78	0.68328
79	0.69753
80	0.71182
81	0.72612
82	0.74045
83	0.75479
84	0.76915
85	0.78352
86	0.79791
87	0.8123
88	0.82669
89	0.
90	0.84109
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	2.8455e-005
99	3.3091e-004
100	9.6596e-004
101	1.9556e-003
102	3.3073e-003
103	5.0219e-003
104	7.097e-003
105	9.5285e-003
106	1.2311e-002
107	1.5439e-002
108	1.8907e-002
109	2.2709e-002
110	2.6838e-002
111	3.1288e-002
112	3.6054e-002
113	4.113e-002
114	4.6509e-002
115	5.2186e-002
116	5.8155e-002
117	6.441e-002
118	7.0947e-002
119	7.7758e-002
120	8.484e-002
121	9.2185e-002
122	9.9789e-002
123	0.10765
124	0.11575
125	0.1241
126	0.13268
127	0.1415
128	0.15054
129	0.15981
130	0.16929
131	0.17898
132	0.18887
133	0.19897
134	0.20926
135	0.21974
136	0.23041
137	0.24126
138	0.25228
139	0.26347
140	0.27483
141	0.28634
